source,superstep,worker,start_time,end_time,duration,active_vertices
141628,1,0,0.001410,0.001890,0.000480,10508
141628,1,1,0.079906,0.080193,0.000287,10508
141628,1,2,0.094409,0.094708,0.000299,10507
141628,1,3,0.086167,0.086451,0.000285,10507
141628,1,4,0.121042,0.121322,0.000280,10507
141628,1,5,0.115634,0.116242,0.000608,10507
141628,1,6,0.114768,0.115019,0.000251,10507
141628,1,7,0.105436,0.105701,0.000265,10507
141628,1,8,0.118723,0.118973,0.000249,10507
141628,1,9,0.130505,0.130747,0.000242,10507
141628,1,10,0.125413,0.125659,0.000246,10507
141628,1,11,0.134751,0.135005,0.000253,10507
141628,1,12,0.129273,0.129536,0.000263,10507
141628,1,13,0.129689,0.129949,0.000260,10507
141628,1,14,0.121537,0.121802,0.000265,10507
141628,1,15,0.110679,0.110925,0.000246,10507
141628,2,0,0.011214,0.020475,0.009261,9
141628,2,1,0.089639,0.099562,0.009923,8
141628,2,2,0.104207,0.106703,0.002496,5
141628,2,3,0.095992,0.106059,0.010067,6
141628,2,4,0.130851,0.133002,0.002150,6
141628,2,5,0.125550,0.131359,0.005809,8
141628,2,6,0.124528,0.137308,0.012780,10
141628,2,7,0.115233,0.121401,0.006167,5
141628,2,8,0.128513,0.129597,0.001084,5
141628,2,9,0.140258,0.160930,0.020672,9
141628,2,10,0.135171,0.141798,0.006627,11
141628,2,11,0.144541,0.146617,0.002076,5
141628,2,12,0.139154,0.141431,0.002276,9
141628,2,13,0.139503,0.147692,0.008189,12
141628,2,14,0.131376,0.132214,0.000838,4
141628,2,15,0.120565,0.133478,0.012914,7
141628,3,0,0.045502,0.239623,0.194120,4996
141628,3,1,0.123997,0.293087,0.169089,5022
141628,3,2,0.138515,0.330486,0.191971,5051
141628,3,3,0.130273,0.321789,0.191516,5107
141628,3,4,0.165219,0.335358,0.170139,5039
141628,3,5,0.159861,0.350210,0.190350,5144
141628,3,6,0.158871,0.349682,0.190811,5147
141628,3,7,0.149517,0.333951,0.184433,5124
141628,3,8,0.162884,0.341589,0.178705,5052
141628,3,9,0.174689,0.348759,0.174071,5069
141628,3,10,0.169531,0.336929,0.167398,5041
141628,3,11,0.178939,0.347513,0.168574,4952
141628,3,12,0.173514,0.337570,0.164056,5190
141628,3,13,0.173869,0.335056,0.161188,5046
141628,3,14,0.165534,0.338242,0.172708,5114
141628,3,15,0.154783,0.318551,0.163767,5052
141628,4,0,0.334124,0.581737,0.247613,10328
141628,4,1,0.412610,0.632939,0.220329,10290
141628,4,2,0.427157,0.679120,0.251963,10320
141628,4,3,0.418892,0.666048,0.247156,10333
141628,4,4,0.453838,0.677755,0.223917,10328
141628,4,5,0.448487,0.679073,0.230586,10317
141628,4,6,0.447518,0.688914,0.241396,10312
141628,4,7,0.438157,0.667157,0.229000,10322
141628,4,8,0.451552,0.674099,0.222546,10319
141628,4,9,0.463297,0.684272,0.220975,10325
141628,4,10,0.458236,0.675849,0.217613,10308
141628,4,11,0.467584,0.680815,0.213231,10316
141628,4,12,0.462182,0.680237,0.218055,10323
141628,4,13,0.462585,0.676862,0.214277,10327
141628,4,14,0.454336,0.675451,0.221115,10325
141628,4,15,0.443537,0.653632,0.210095,10299
141628,5,0,0.701114,0.940151,0.239038,10496
141628,5,1,0.779624,0.990038,0.210413,10500
141628,5,2,0.794077,1.022800,0.228723,10490
141628,5,3,0.785872,1.024933,0.239060,10500
