source,superstep,worker,start_time,end_time,duration,active_vertices
24325,1,0,0.005169,0.005510,0.000342,10508
24325,1,1,0.165602,0.165913,0.000311,10508
24325,1,2,0.185329,0.185556,0.000227,10507
24325,1,3,0.164849,0.165106,0.000257,10507
24325,1,4,0.189664,0.189926,0.000262,10507
24325,1,5,0.186084,0.186341,0.000258,10507
24325,1,6,0.187515,0.187848,0.000334,10507
24325,1,7,0.187194,0.187453,0.000258,10507
24325,1,8,0.187077,0.187294,0.000217,10507
24325,1,9,0.196849,0.197098,0.000249,10507
24325,1,10,0.201193,0.201437,0.000244,10507
24325,1,11,0.208001,0.208250,0.000249,10507
24325,1,12,0.199258,0.199513,0.000256,10507
24325,1,13,0.205813,0.206042,0.000229,10507
24325,1,14,0.184917,0.185171,0.000254,10507
24325,1,15,0.193505,0.193735,0.000230,10507
24325,2,0,0.017781,0.018102,0.000321,1
24325,2,1,0.175389,0.175855,0.000466,1
24325,2,2,0.197527,0.198692,0.001165,3
24325,2,3,0.174620,0.174767,0.000147,1
24325,2,4,0.202041,0.202858,0.000818,2
24325,2,5,0.195676,0.196130,0.000455,1
24325,2,6,0.199809,0.199991,0.000182,1
24325,2,7,0.196850,0.197310,0.000459,1
24325,2,8,0.199368,0.199880,0.000512,3
24325,2,9,0.206444,0.206992,0.000548,3
24325,2,10,0.213467,0.214920,0.001454,4
24325,2,11,0.217618,0.218183,0.000564,2
24325,2,12,0.211736,0.215340,0.003604,5
24325,2,13,0.215459,0.216048,0.000589,2
24325,2,14,0.197247,0.200925,0.003678,3
24325,2,15,0.203042,0.203633,0.000592,2
24325,3,0,0.031828,0.129796,0.097968,1123
24325,3,1,0.189810,0.268620,0.078810,1101
24325,3,2,0.212079,0.289347,0.077268,1172
24325,3,3,0.189070,0.278978,0.089907,1129
24325,3,4,0.216396,0.293785,0.077389,1061
24325,3,5,0.210129,0.300630,0.090501,1088
24325,3,6,0.214203,0.303475,0.089272,1165
24325,3,7,0.211265,0.294884,0.083619,1069
24325,3,8,0.213832,0.289186,0.075354,1089
24325,3,9,0.220911,0.293252,0.072341,1165
24325,3,10,0.227937,0.307480,0.079543,1121
