source,superstep,worker,start_time,end_time,duration,active_vertices
113856,1,0,0.002945,0.003178,0.000233,10508
113856,1,1,0.215547,0.216143,0.000597,10505
113856,1,2,0.200716,0.200899,0.000183,10508
113856,1,3,0.145340,0.146132,0.000792,10508
113856,1,4,0.220972,0.221177,0.000205,10508
113856,1,5,0.217300,0.217521,0.000220,10508
113856,1,6,0.212949,0.213270,0.000321,10503
113856,1,7,0.231095,0.231505,0.000410,10508
113856,1,8,0.204754,0.204960,0.000206,10508
113856,1,9,0.202036,0.202243,0.000207,10505
113856,1,10,0.209004,0.209201,0.000197,10508
113856,1,11,0.202882,0.203098,0.000216,10508
113856,1,12,0.112047,0.112255,0.000209,10508
113856,1,13,0.111119,0.111329,0.000210,10508
113856,1,14,0.191884,0.192090,0.000205,10507
113856,1,15,0.200557,0.200776,0.000219,10506
113856,2,0,0.015274,0.016734,0.001460,17
113856,2,1,0.227609,0.227968,0.000359,6
113856,2,2,0.212761,0.217700,0.004939,51
113856,2,3,0.157434,0.173940,0.016505,175
113856,2,4,0.232728,0.233022,0.000294,3
113856,2,5,0.229051,0.229583,0.000532,2
113856,2,6,0.224318,0.224523,0.000205,1
113856,2,7,0.242891,0.242998,0.000108,0
113856,2,8,0.216663,0.217406,0.000743,10
113856,2,9,0.213950,0.214702,0.000752,14
113856,2,10,0.220923,0.221275,0.000353,5
113856,2,11,0.214835,0.215506,0.000671,5
113856,2,12,0.123333,0.129224,0.005891,13
113856,2,13,0.122423,0.145320,0.022897,120
113856,2,14,0.203180,0.209157,0.005977,24
113856,2,15,0.212226,0.215999,0.003773,22
113856,3,0,0.064225,0.173319,0.109094,4446
113856,3,1,0.276864,0.317002,0.040138,2838
113856,3,2,0.261990,0.351177,0.089187,6224
113856,3,3,0.206590,0.549496,0.342906,8635
113856,3,4,0.282003,0.308952,0.026949,1852
113856,3,5,0.278291,0.305244,0.026952,1901
113856,3,6,0.273617,0.311741,0.038124,1525
113856,3,7,0.292149,0.310423,0.018275,1797
113856,3,8,0.266027,0.327835,0.061808,4364
113856,3,9,0.263294,0.336880,0.073586,3661
113856,3,10,0.271075,0.325788,0.054713,4163
113856,3,11,0.264103,0.331017,0.066914,3598
113856,3,12,0.173312,0.588823,0.415511,8163
113856,3,13,0.171772,0.634945,0.463173,9422
113856,3,14,0.253184,0.392367,0.139183,6637
113856,3,15,0.261496,0.352173,0.090677,4899
113856,4,0,0.752190,0.798857,0.046667,10285
113856,4,1,0.964870,1.009102,0.044232,10196
113856,4,2,0.949962,0.975903,0.025941,10441
113856,4,3,0.894585,0.909944,0.015359,10495
113856,4,4,0.970028,1.017033,0.047005,10073
113856,4,5,0.966308,1.015758,0.049450,9972
113856,4,6,0.961557,1.014266,0.052709,9940
113856,4,7,0.980102,1.005014,0.024912,9625
113856,4,8,0.954150,1.019899,0.065749,10433
113856,4,9,0.951443,1.020061,0.068618,10292
113856,4,10,0.958306,1.002882,0.044577,10437
113856,4,11,0.952102,1.006060,0.053958,10408
113856,4,12,0.860776,0.908909,0.048133,10508
113856,4,13,0.859834,0.879048,0.019214,10506
113856,4,14,0.940623,0.977283,0.036660,10500
113856,4,15,0.949306,0.993164,0.043858,10496
113856,5,0,0.862889,0.863882,0.000992,9717
113856,5,1,1.075546,1.076231,0.000685,9752
113856,5,2,1.060656,1.061050,0.000394,9121
113856,5,3,1.005290,1.005664,0.000374,9280
113856,5,4,1.080675,1.081426,0.000751,8941
113856,5,5,1.077067,1.077932,0.000864,9448
113856,5,6,1.072234,1.073107,0.000873,9853
113856,5,7,1.090839,1.092008,0.001169,7497
113856,5,8,1.064725,1.065247,0.000522,10061
113856,5,9,1.062032,1.062591,0.000560,9864
113856,5,10,1.068938,1.069363,0.000425,10066
113856,5,11,1.062813,1.063265,0.000452,9993
113856,5,12,0.971700,0.972200,0.000500,10338
113856,5,13,0.970564,0.971102,0.000538,10165
113856,5,14,1.051276,1.051685,0.000409,9804
113856,5,15,1.060005,1.060388,0.000384,9671
113856,6,0,0.871399,0.871505,0.000106,636
113856,6,1,1.084046,1.084118,0.000072,759
113856,6,2,1.069194,1.069243,0.000048,129
113856,6,3,1.013773,1.013822,0.000050,36
113856,6,4,1.089218,1.089271,0.000053,743
113856,6,5,1.085491,1.085565,0.000074,1046
113856,6,6,1.080745,1.080813,0.000068,888
113856,6,7,1.099281,1.099335,0.000054,453
113856,6,8,1.073198,1.073243,0.000045,205
113856,6,9,1.070467,1.070519,0.000052,221
113856,6,10,1.077432,1.077472,0.000040,205
113856,6,11,1.071283,1.071328,0.000045,228
113856,6,12,0.979931,0.979992,0.000061,102
113856,6,13,0.979015,0.979078,0.000063,41
113856,6,14,1.059779,1.059830,0.000051,141
113856,6,15,1.068454,1.068496,0.000042,188
113856,7,0,0.879395,0.879502,0.000107,3
113856,7,1,1.092024,1.092070,0.000046,8
113856,7,2,1.077181,1.077248,0.000066,1
113856,7,3,1.021818,1.021870,0.000052,0
113856,7,4,1.096927,1.096964,0.000036,2
113856,7,5,1.093263,1.093302,0.000039,11
113856,7,6,1.088398,1.088433,0.000036,9
113856,7,7,1.107020,1.107054,0.000034,14
113856,7,8,1.081249,1.081396,0.000147,1
113856,7,9,1.078456,1.078512,0.000056,5
113856,7,10,1.085477,1.085506,0.000029,1
113856,7,11,1.079267,1.079296,0.000029,1
113856,7,12,0.987548,0.987605,0.000057,0
113856,7,13,0.986621,0.986682,0.000062,0
113856,7,14,1.067398,1.067431,0.000033,0
113856,7,15,1.076089,1.076132,0.000044,0
113856,8,0,0.000000,0.000000,0.000000,0
113856,8,1,0.000000,0.000000,0.000000,0
113856,8,2,0.000000,0.000000,0.000000,0
113856,8,3,0.000000,0.000000,0.000000,0
113856,8,4,0.000000,0.000000,0.000000,0
113856,8,5,0.000000,0.000000,0.000000,0
113856,8,6,0.000000,0.000000,0.000000,0
113856,8,7,0.000000,0.000000,0.000000,0
113856,8,8,0.000000,0.000000,0.000000,0
113856,8,9,0.000000,0.000000,0.000000,0
113856,8,10,0.000000,0.000000,0.000000,0
113856,8,11,0.000000,0.000000,0.000000,0
113856,8,12,0.000000,0.000000,0.000000,0
113856,8,13,0.000000,0.000000,0.000000,0
113856,8,14,0.000000,0.000000,0.000000,0
113856,8,15,0.000000,0.000000,0.000000,0
