source,superstep,worker,start_time,end_time,duration,active_vertices
31914,1,0,0.001438,0.002159,0.000721,10508
31914,1,1,0.155089,0.155362,0.000273,10508
31914,1,2,0.155112,0.155377,0.000264,10508
31914,1,3,0.155166,0.155441,0.000275,10508
31914,1,4,0.155161,0.155419,0.000258,10508
31914,1,5,0.155053,0.155319,0.000266,10508
31914,1,6,0.155126,0.155394,0.000268,10508
31914,1,7,0.155128,0.155404,0.000275,10508
31914,1,8,0.155102,0.155411,0.000309,10508
31914,1,9,0.154977,0.155228,0.000251,10508
31914,1,10,0.155035,0.155344,0.000309,10508
31914,1,11,0.155101,0.155322,0.000221,10508
31914,1,12,0.155225,0.155488,0.000263,10505
31914,1,13,0.155164,0.155413,0.000250,10505
31914,1,14,0.155195,0.155457,0.000262,10504
31914,1,15,0.155153,0.155426,0.000274,10504
31914,2,0,0.010801,0.011751,0.000950,6
31914,2,1,0.164501,0.164559,0.000058,0
31914,2,2,0.164532,0.164874,0.000342,5
31914,2,3,0.164570,0.165027,0.000457,10
31914,2,4,0.164422,0.164852,0.000430,8
31914,2,5,0.164476,0.164689,0.000213,2
31914,2,6,0.164413,0.164844,0.000430,3
31914,2,7,0.164487,0.164770,0.000283,3
31914,2,8,0.164539,0.164809,0.000269,4
31914,2,9,0.164446,0.165168,0.000722,9
31914,2,10,0.164468,0.164684,0.000216,3
31914,2,11,0.164424,0.164479,0.000055,0
31914,2,12,0.164386,0.164786,0.000400,4
31914,2,13,0.164484,0.164654,0.000170,2
31914,2,14,0.164381,0.164686,0.000305,2
31914,2,15,0.164504,0.164802,0.000298,6
31914,3,0,0.020343,0.071213,0.050870,368
31914,3,1,0.174031,0.246447,0.072416,395
31914,3,2,0.174100,0.251046,0.076946,418
31914,3,3,0.174106,0.238844,0.064737,453
31914,3,4,0.174005,0.224654,0.050649,383
31914,3,5,0.173993,0.228064,0.054071,398
31914,3,6,0.173984,0.238020,0.064036,429
31914,3,7,0.174032,0.234883,0.060851,447
31914,3,8,0.174066,0.238958,0.064892,398
31914,3,9,0.174055,0.230127,0.056072,404
31914,3,10,0.174056,0.245277,0.071221,424
31914,3,11,0.174067,0.228611,0.054544,381
31914,3,12,0.174071,0.232474,0.058402,399
31914,3,13,0.173960,0.229718,0.055759,419
31914,3,14,0.174042,0.228320,0.054278,406
31914,3,15,0.174096,0.233744,0.059648,415
31914,4,0,0.163089,0.400939,0.237851,9551
31914,4,1,0.316828,0.570057,0.253229,9539
31914,4,2,0.316894,0.582636,0.265742,9490
31914,4,3,0.316895,0.571205,0.254311,9540
31914,4,4,0.316784,0.553507,0.236723,9549
31914,4,5,0.316731,0.564089,0.247358,9499
31914,4,6,0.316779,0.572133,0.255355,9520
31914,4,7,0.316777,0.558305,0.241528,9525
31914,4,8,0.316772,0.579552,0.262780,9540
31914,4,9,0.316629,0.550566,0.233937,9552
31914,4,10,0.316634,0.573637,0.257003,9506
31914,4,11,0.316672,0.550228,0.233556,9522
31914,4,12,0.316675,0.568574,0.251900,9532
31914,4,13,0.316675,0.573358,0.256684,9544
31914,4,14,0.316618,0.557329,0.240711,9480
31914,4,15,0.316620,0.563092,0.246472,9533
31914,5,0,0.544771,0.764098,0.219327,10491
31914,5,1,0.698551,0.941119,0.242568,10484
31914,5,2,0.698565,0.943915,0.245350,10485
31914,5,3,0.698628,0.936908,0.238280,10482
31914,5,4,0.698438,0.950954,0.252516,10476
31914,5,5,0.698446,0.951369,0.252923,10475
31914,5,6,0.698433,0.965474,0.267040,10473
31914,5,7,0.698477,0.958132,0.259655,10499
31914,5,8,0.698412,0.942256,0.243844,10488
31914,5,9,0.698352,0.926666,0.228314,10497
31914,5,10,0.698424,0.928999,0.230575,10490
31914,5,11,0.698438,0.921799,0.223361,10486
31914,5,12,0.698357,0.945254,0.246896,10484
31914,5,13,0.698341,0.951565,0.253224,10480
31914,5,14,0.698301,0.937929,0.239628,10489
31914,5,15,0.698303,0.945778,0.247475,10473
31914,6,0,0.923972,1.127146,0.203174,10488
31914,6,1,1.077589,1.300544,0.222955,10497
31914,6,2,1.077716,1.305557,0.227841,10489
31914,6,3,1.077723,1.297279,0.219556,10491
