source,superstep,worker,start_time,end_time,duration,active_vertices
9783,1,0,0.001609,0.001908,0.000299,10508
9783,1,1,0.165466,0.165714,0.000248,10505
9783,1,2,0.165371,0.165650,0.000280,10508
9783,1,3,0.165328,0.165573,0.000245,10508
9783,1,4,0.165161,0.165427,0.000266,10508
9783,1,5,0.165157,0.165429,0.000272,10508
9783,1,6,0.165217,0.165476,0.000258,10508
9783,1,7,0.165233,0.165511,0.000278,10503
9783,1,8,0.165229,0.165490,0.000261,10508
9783,1,9,0.165271,0.165516,0.000245,10507
9783,1,10,0.165232,0.165482,0.000250,10508
9783,1,11,0.165323,0.165618,0.000295,10506
9783,1,12,0.165325,0.165567,0.000242,10508
9783,1,13,0.165228,0.165500,0.000272,10505
9783,1,14,0.165341,0.165679,0.000338,10508
9783,1,15,0.165217,0.165534,0.000317,10508
9783,2,0,0.012558,0.012664,0.000106,0
9783,2,1,0.176325,0.176376,0.000051,0
9783,2,2,0.176381,0.184877,0.008496,1
9783,2,3,0.176371,0.176421,0.000050,0
9783,2,4,0.176116,0.176163,0.000047,0
9783,2,5,0.176134,0.176191,0.000057,0
9783,2,6,0.176176,0.176236,0.000060,1
9783,2,7,0.176193,0.176273,0.000080,0
9783,2,8,0.176347,0.176402,0.000054,0
9783,2,9,0.176187,0.176236,0.000049,0
9783,2,10,0.176279,0.176331,0.000052,0
9783,2,11,0.176295,0.176389,0.000094,0
9783,2,12,0.176262,0.176334,0.000072,0
9783,2,13,0.176342,0.176396,0.000054,0
9783,2,14,0.176385,0.187854,0.011469,6
9783,2,15,0.176333,0.176412,0.000079,0
9783,3,0,0.038452,0.115007,0.076555,3437
9783,3,1,0.202232,0.244295,0.042063,2148
9783,3,2,0.202153,0.577995,0.375842,7403
9783,3,3,0.202199,0.260450,0.058251,3489
9783,3,4,0.202053,0.225692,0.023639,1282
9783,3,5,0.201903,0.227031,0.025128,1156
9783,3,6,0.202000,0.221447,0.019447,1313
9783,3,7,0.202014,0.239582,0.037568,1688
9783,3,8,0.202106,0.239434,0.037328,1447
9783,3,9,0.202140,0.233849,0.031709,1895
9783,3,10,0.202093,0.240615,0.038522,2092
9783,3,11,0.201987,0.241752,0.039766,1450
9783,3,12,0.202187,0.278872,0.076685,3388
9783,3,13,0.202047,0.276196,0.074149,3756
9783,3,14,0.202086,0.715745,0.513659,6501
9783,3,15,0.202023,0.695144,0.493121,5649
9783,4,0,0.720434,0.873095,0.152661,10150
9783,4,1,0.884312,0.995064,0.110752,9954
9783,4,2,0.884261,1.351872,0.467611,10473
9783,4,3,0.884274,1.001823,0.117549,10257
9783,4,4,0.884085,0.967579,0.083494,9261
9783,4,5,0.884041,0.970669,0.086628,9502
9783,4,6,0.884102,0.941762,0.057659,8990
9783,4,7,0.884089,0.997423,0.113334,9845
9783,4,8,0.884176,1.054875,0.170699,10220
9783,4,9,0.884169,0.981401,0.097232,10079
9783,4,10,0.884136,1.000289,0.116153,10194
9783,4,11,0.884122,1.059161,0.175038,10104
9783,4,12,0.884143,1.068522,0.184380,10451
9783,4,13,0.884105,1.031183,0.147078,10415
9783,4,14,0.884146,1.594784,0.710637,10505
9783,4,15,0.884117,1.621435,0.737318,10494
9783,5,0,1.692602,1.853942,0.161340,10503
9783,5,1,1.856328,1.971189,0.114861,10496
9783,5,2,1.856375,2.351563,0.495189,10506
9783,5,3,1.856340,1.990244,0.133904,10501
9783,5,4,1.856112,1.943157,0.087046,10466
9783,5,5,1.856128,1.942430,0.086302,10480
9783,5,6,1.856177,1.915155,0.058978,10444
9783,5,7,1.856174,1.970343,0.114170,10486
9783,5,8,1.856374,2.033050,0.176676,10507
9783,5,9,1.856296,1.960618,0.104322,10500
9783,5,10,1.856270,1.974962,0.118692,10499
9783,5,11,1.856324,2.036455,0.180130,10499
9783,5,12,1.856294,2.050069,0.193775,10507
9783,5,13,1.856163,2.006038,0.149874,10505
9783,5,14,1.856226,2.509959,0.653733,10508
9783,5,15,1.856185,2.573940,0.717755,10508
9783,6,0,2.630671,2.764716,0.134045,10502
9783,6,1,2.794435,2.886654,0.092219,10498
