source,superstep,worker,start_time,end_time,duration,active_vertices
14030,1,0,0.001706,0.002027,0.000320,10508
14030,1,1,0.195330,0.195598,0.000268,10508
14030,1,2,0.180603,0.180880,0.000276,10507
14030,1,3,0.182690,0.182971,0.000281,10507
14030,1,4,0.199376,0.199642,0.000265,10507
14030,1,5,0.191566,0.191809,0.000243,10507
14030,1,6,0.194817,0.195065,0.000248,10507
14030,1,7,0.196902,0.197154,0.000252,10507
14030,1,8,0.151384,0.151602,0.000218,10507
14030,1,9,0.137562,0.137804,0.000242,10507
14030,1,10,0.134955,0.135811,0.000857,10507
14030,1,11,0.142586,0.142807,0.000221,10507
14030,1,12,0.198903,0.199182,0.000279,10507
14030,1,13,0.195129,0.195403,0.000274,10507
14030,1,14,0.193901,0.194218,0.000316,10507
14030,1,15,0.171857,0.172128,0.000271,10507
14030,2,0,0.012087,0.019149,0.007062,19
14030,2,1,0.205780,0.210201,0.004421,8
14030,2,2,0.191124,0.198766,0.007642,20
14030,2,3,0.193218,0.208252,0.015034,12
14030,2,4,0.209894,0.214762,0.004868,11
14030,2,5,0.202006,0.218764,0.016758,11
14030,2,6,0.205242,0.209916,0.004674,9
14030,2,7,0.207395,0.221403,0.014008,21
14030,2,8,0.161525,0.170634,0.009109,17
14030,2,9,0.147703,0.154662,0.006959,19
14030,2,10,0.145037,0.149602,0.004565,16
14030,2,11,0.152681,0.159975,0.007294,15
14030,2,12,0.209104,0.215339,0.006234,15
14030,2,13,0.205354,0.215800,0.010446,19
14030,2,14,0.204159,0.212359,0.008201,13
14030,2,15,0.182222,0.191403,0.009181,19
14030,3,0,0.049825,0.270636,0.220810,6586
14030,3,1,0.243538,0.444717,0.201179,6619
14030,3,2,0.228934,0.430355,0.201420,6689
14030,3,3,0.230997,0.443072,0.212075,6678
14030,3,4,0.247455,0.455528,0.208072,6529
14030,3,5,0.239569,0.442948,0.203379,6651
14030,3,6,0.242869,0.444787,0.201918,6680
14030,3,7,0.244995,0.440877,0.195881,6570
14030,3,8,0.199014,0.427652,0.228637,6584
14030,3,9,0.185292,0.413439,0.228147,6625
14030,3,10,0.182757,0.415987,0.233230,6512
14030,3,11,0.190272,0.404849,0.214577,6532
14030,3,12,0.246698,0.445678,0.198980,6635
14030,3,13,0.242921,0.434288,0.191367,6599
14030,3,14,0.241724,0.437204,0.195480,6733
14030,3,15,0.219811,0.423124,0.203314,6542
14030,4,0,0.403488,0.636429,0.232941,10396
