source,superstep,worker,start_time,end_time,duration,active_vertices
131927,1,0,0.001684,0.002036,0.000351,10508
131927,1,1,0.169007,0.169262,0.000255,10508
131927,1,2,0.168990,0.169245,0.000255,10507
131927,1,3,0.168998,0.169266,0.000267,10507
131927,1,4,0.169023,0.169274,0.000251,10507
131927,1,5,0.169027,0.169274,0.000246,10507
131927,1,6,0.169058,0.169303,0.000246,10507
131927,1,7,0.169028,0.169282,0.000254,10507
131927,1,8,0.168710,0.169124,0.000414,10507
131927,1,9,0.168757,0.169152,0.000395,10507
131927,1,10,0.168493,0.168743,0.000250,10507
131927,1,11,0.168610,0.168841,0.000231,10507
131927,1,12,0.168967,0.169245,0.000278,10507
131927,1,13,0.169019,0.169290,0.000270,10507
131927,1,14,0.169009,0.169287,0.000278,10507
131927,1,15,0.169107,0.169358,0.000252,10507
131927,2,0,0.012831,0.013784,0.000954,2
131927,2,1,0.180152,0.180204,0.000052,0
131927,2,2,0.180176,0.180234,0.000058,0
131927,2,3,0.180126,0.180235,0.000108,1
131927,2,4,0.179946,0.179999,0.000052,0
131927,2,5,0.180057,0.180112,0.000055,0
131927,2,6,0.179977,0.180033,0.000056,0
131927,2,7,0.180036,0.180092,0.000056,0
131927,2,8,0.179957,0.180385,0.000428,0
131927,2,9,0.179828,0.180023,0.000196,0
131927,2,10,0.179737,0.179813,0.000076,0
131927,2,11,0.179712,0.179806,0.000094,0
131927,2,12,0.179998,0.180054,0.000056,0
131927,2,13,0.180051,0.180110,0.000059,0
131927,2,14,0.179995,0.180055,0.000060,0
131927,2,15,0.180024,0.180491,0.000467,1
131927,3,0,0.023576,0.029469,0.005893,113
131927,3,1,0.190966,0.198546,0.007580,117
131927,3,2,0.190955,0.195809,0.004854,111
131927,3,3,0.190930,0.193809,0.002879,93
131927,3,4,0.190895,0.196534,0.005639,114
131927,3,5,0.190927,0.194925,0.003998,109
131927,3,6,0.190945,0.195000,0.004055,115
131927,3,7,0.190941,0.198195,0.007255,94
131927,3,8,0.190797,0.198945,0.008148,91
131927,3,9,0.190749,0.196134,0.005386,125
131927,3,10,0.190602,0.197823,0.007220,103
131927,3,11,0.190593,0.193412,0.002819,116
131927,3,12,0.190798,0.195832,0.005034,93
131927,3,13,0.190789,0.199971,0.009182,85
131927,3,14,0.190884,0.203098,0.012214,106
131927,3,15,0.190912,0.207500,0.016588,131
131927,4,0,0.060439,0.284388,0.223949,5338
131927,4,1,0.227846,0.430835,0.202989,5315
131927,4,2,0.227772,0.435359,0.207587,5512
131927,4,3,0.227789,0.442732,0.214943,5355
131927,4,4,0.227722,0.438504,0.210783,5426
131927,4,5,0.227792,0.438478,0.210685,5467
131927,4,6,0.227684,0.447907,0.220223,5461
131927,4,7,0.227703,0.442943,0.215240,5310
131927,4,8,0.227507,0.476724,0.249217,5400
131927,4,9,0.227470,0.468184,0.240714,5412
131927,4,10,0.227432,0.453205,0.225772,5280
131927,4,11,0.227453,0.431553,0.204099,5302
131927,4,12,0.227805,0.427252,0.199446,5410
131927,4,13,0.227807,0.441528,0.213721,5323
131927,4,14,0.227755,0.444378,0.216623,5448
131927,4,15,0.227746,0.427327,0.199582,5387
131927,5,0,0.440823,0.707867,0.267043,10361
131927,5,1,0.608346,0.858280,0.249935,10363
131927,5,2,0.608324,0.869922,0.261598,10383
131927,5,3,0.608340,0.882346,0.274006,10390
131927,5,4,0.608345,0.858312,0.249967,10387
131927,5,5,0.608591,0.858172,0.249581,10384
131927,5,6,0.608402,0.874260,0.265858,10381
131927,5,7,0.608650,0.865769,0.257119,10386
131927,5,8,0.607665,0.900787,0.293122,10386
131927,5,9,0.607606,0.893153,0.285547,10399
131927,5,10,0.607638,0.908202,0.300564,10382
131927,5,11,0.607627,0.887214,0.279588,10369
131927,5,12,0.608113,0.848897,0.240785,10386
131927,5,13,0.608261,0.855214,0.246953,10375
131927,5,14,0.608172,0.863154,0.254982,10382
131927,5,15,0.608458,0.841993,0.233535,10357
131927,6,0,0.882540,1.129634,0.247094,10502
131927,6,1,1.049877,1.303867,0.253990,10493
131927,6,2,1.049857,1.302757,0.252900,10499
131927,6,3,1.049808,1.310542,0.260734,10500
131927,6,4,1.049957,1.272921,0.222964,10503
131927,6,5,1.049924,1.276362,0.226438,10500
131927,6,6,1.049895,1.284894,0.234999,10497
131927,6,7,1.049840,1.279852,0.230012,10499
131927,6,8,1.049804,1.320492,0.270688,10501
131927,6,9,1.049830,1.319195,0.269365,10497
131927,6,10,1.049800,1.308168,0.258368,10500
131927,6,11,1.049815,1.292388,0.242573,10498
131927,6,12,1.050007,1.271835,0.221828,10498
131927,6,13,1.049934,1.282920,0.232987,10497
131927,6,14,1.049981,1.288042,0.238062,10502
131927,6,15,1.049878,1.276023,0.226145,10492
131927,7,0,1.274836,1.503057,0.228220,10494
131927,7,1,1.442264,1.676530,0.234266,10493
131927,7,2,1.442306,1.681362,0.239056,10489
131927,7,3,1.442266,1.680352,0.238085,10487
131927,7,4,1.442288,1.652102,0.209815,10490
131927,7,5,1.442301,1.639048,0.196747,10491
131927,7,6,1.442297,1.654963,0.212666,10495
131927,7,7,1.442293,1.650226,0.207933,10487
131927,7,8,1.441783,1.692580,0.250796,10485
131927,7,9,1.441862,1.688106,0.246244,10489
131927,7,10,1.441849,1.669020,0.227171,10483
131927,7,11,1.441768,1.661391,0.219623,10486
131927,7,12,1.442163,1.648719,0.206556,10488
131927,7,13,1.442188,1.665168,0.222980,10488
131927,7,14,1.442182,1.661279,0.219097,10493
131927,7,15,1.442194,1.645738,0.203544,10493
131927,8,0,1.642089,1.849567,0.207478,10467
131927,8,1,1.809589,2.003080,0.193491,10472
131927,8,2,1.809611,2.019004,0.209393,10454
131927,8,3,1.809583,2.030815,0.221232,10468
131927,8,4,1.809551,2.006227,0.196677,10450
131927,8,5,1.809572,2.003327,0.193755,10467
131927,8,6,1.809586,2.008950,0.199364,10451
131927,8,7,1.809554,2.007091,0.197537,10448
131927,8,8,1.809125,2.063611,0.254486,10451
131927,8,9,1.809068,2.060736,0.251667,10464
131927,8,10,1.808940,2.043236,0.234295,10457
131927,8,11,1.808955,2.019441,0.210485,10461
131927,8,12,1.809374,2.002773,0.193399,10451
131927,8,13,1.809313,2.014343,0.205031,10448
131927,8,14,1.809411,2.017975,0.208564,10466
131927,8,15,1.809366,2.003089,0.193724,10466
131927,9,0,2.012419,2.226459,0.214040,10459
131927,9,1,2.179899,2.383627,0.203728,10457
131927,9,2,2.179888,2.393985,0.214097,10447
131927,9,3,2.179882,2.387205,0.207323,10445
131927,9,4,2.179839,2.376006,0.196167,10440
131927,9,5,2.179900,2.370603,0.190703,10454
131927,9,6,2.179911,2.385811,0.205901,10435
131927,9,7,2.179836,2.377404,0.197568,10440
131927,9,8,2.179448,2.408601,0.229153,10442
131927,9,9,2.179415,2.392677,0.213262,10438
131927,9,10,2.179366,2.399314,0.219947,10438
131927,9,11,2.179454,2.397146,0.217691,10436
131927,9,12,2.179823,2.362731,0.182908,10441
131927,9,13,2.179871,2.364839,0.184968,10417
131927,9,14,2.179796,2.378171,0.198375,10447
131927,9,15,2.179780,2.371039,0.191259,10447
131927,10,0,2.356526,2.549988,0.193461,10427
131927,10,1,2.523997,2.709624,0.185626,10433
131927,10,2,2.523942,2.709734,0.185792,10436
131927,10,3,2.523976,2.733589,0.209613,10435
131927,10,4,2.523986,2.697772,0.173786,10427
131927,10,5,2.524063,2.689624,0.165561,10434
131927,10,6,2.524047,2.705200,0.181152,10445
131927,10,7,2.524039,2.695667,0.171628,10430
131927,10,8,2.523955,2.714560,0.190604,10431
131927,10,9,2.523527,2.720835,0.197308,10429
131927,10,10,2.523573,2.715178,0.191605,10436
131927,10,11,2.523503,2.704860,0.181357,10432
131927,10,12,2.523833,2.686736,0.162904,10419
131927,10,13,2.523849,2.696651,0.172802,10418
131927,10,14,2.523906,2.704765,0.180859,10434
131927,10,15,2.523922,2.694327,0.170405,10427
131927,11,0,2.672413,2.833144,0.160730,10373
131927,11,1,2.839824,2.987906,0.148082,10377
131927,11,2,2.839834,2.996191,0.156357,10380
131927,11,3,2.839814,2.998738,0.158924,10386
131927,11,4,2.839976,2.973157,0.133180,10394
131927,11,5,2.840006,2.974758,0.134752,10381
131927,11,6,2.839858,2.992188,0.152331,10365
131927,11,7,2.839888,2.985676,0.145788,10391
131927,11,8,2.839763,3.010805,0.171042,10376
131927,11,9,2.839474,3.007142,0.167668,10395
131927,11,10,2.839500,3.008689,0.169189,10378
131927,11,11,2.839549,2.998514,0.158965,10362
131927,11,12,2.839973,2.974199,0.134226,10389
131927,11,13,2.839963,2.980707,0.140744,10385
131927,11,14,2.839895,2.982790,0.142895,10394
131927,11,15,2.839892,2.987354,0.147463,10400
131927,12,0,2.940859,3.057653,0.116794,10311
131927,12,1,3.108251,3.224250,0.115999,10325
131927,12,2,3.108240,3.234898,0.126658,10291
131927,12,3,3.108252,3.230797,0.122545,10335
131927,12,4,3.108469,3.219398,0.110929,10307
131927,12,5,3.108446,3.214795,0.106349,10337
131927,12,6,3.108506,3.215659,0.107153,10268
131927,12,7,3.108502,3.220528,0.112026,10337
131927,12,8,3.108180,3.244644,0.136464,10324
131927,12,9,3.108101,3.236017,0.127916,10325
131927,12,10,3.108015,3.242962,0.134947,10341
131927,12,11,3.108037,3.243669,0.135632,10286
131927,12,12,3.108457,3.222479,0.114021,10341
131927,12,13,3.108368,3.219971,0.111603,10321
131927,12,14,3.108495,3.228401,0.119906,10338
131927,12,15,3.108519,3.212687,0.104168,10318
131927,13,0,3.161917,3.245598,0.083680,10183
131927,13,1,3.329432,3.422851,0.093420,10179
131927,13,2,3.329250,3.415183,0.085934,10203
131927,13,3,3.329260,3.414439,0.085179,10185
131927,13,4,3.329131,3.409949,0.080818,10187
131927,13,5,3.329197,3.404674,0.075477,10182
131927,13,6,3.329265,3.418707,0.089441,10186
131927,13,7,3.329133,3.416586,0.087453,10185
131927,13,8,3.328899,3.429324,0.100425,10202
131927,13,9,3.328929,3.439062,0.110133,10201
131927,13,10,3.328845,3.419449,0.090604,10179
131927,13,11,3.328866,3.414106,0.085240,10184
131927,13,12,3.329076,3.399333,0.070257,10220
131927,13,13,3.329172,3.403158,0.073986,10179
131927,13,14,3.329170,3.413974,0.084804,10216
131927,13,15,3.329153,3.408394,0.079241,10178
131927,14,0,3.343040,3.400143,0.057104,9948
