source,superstep,worker,start_time,end_time,duration,active_vertices
77175,1,0,0.001483,0.001822,0.000339,10508
77175,1,1,0.168159,0.168430,0.000271,10508
77175,1,2,0.172002,0.172258,0.000256,10507
77175,1,3,0.161805,0.162066,0.000261,10507
77175,1,4,0.184008,0.184268,0.000260,10507
77175,1,5,0.181116,0.181374,0.000258,10507
77175,1,6,0.176923,0.177172,0.000249,10507
77175,1,7,0.174986,0.175247,0.000261,10507
77175,1,8,0.096484,0.096689,0.000206,10507
77175,1,9,0.094986,0.095215,0.000229,10507
77175,1,10,0.077167,0.077510,0.000343,10507
77175,1,11,0.104945,0.105149,0.000204,10507
77175,1,12,0.182376,0.182650,0.000274,10507
77175,1,13,0.180500,0.180766,0.000266,10507
77175,1,14,0.169899,0.170193,0.000294,10507
77175,1,15,0.148703,0.148980,0.000277,10507
77175,2,0,0.011613,0.011732,0.000119,0
77175,2,1,0.178229,0.178440,0.000211,1
77175,2,2,0.182124,0.182177,0.000053,0
77175,2,3,0.171897,0.171948,0.000052,0
77175,2,4,0.194038,0.194784,0.000746,2
77175,2,5,0.191030,0.191090,0.000060,0
77175,2,6,0.186874,0.186929,0.000055,0
77175,2,7,0.184987,0.190979,0.005992,2
77175,2,8,0.106713,0.107779,0.001066,2
77175,2,9,0.105062,0.105121,0.000059,0
77175,2,10,0.087315,0.088437,0.001121,2
77175,2,11,0.115144,0.115287,0.000143,2
77175,2,12,0.192405,0.193328,0.000923,1
77175,2,13,0.190399,0.190455,0.000057,0
77175,2,14,0.179761,0.179861,0.000100,0
77175,2,15,0.158757,0.158963,0.000206,1
77175,3,0,0.030160,0.098126,0.067967,1027
77175,3,1,0.196842,0.255481,0.058639,1081
77175,3,2,0.200741,0.262159,0.061418,1100
77175,3,3,0.190539,0.257423,0.066885,1086
77175,3,4,0.212566,0.272819,0.060252,1062
77175,3,5,0.209546,0.272182,0.062637,1063
77175,3,6,0.205424,0.256817,0.051394,1096
77175,3,7,0.203586,0.253392,0.049806,1017
77175,3,8,0.125276,0.192394,0.067117,1073
77175,3,9,0.123671,0.185984,0.062313,1094
77175,3,10,0.105748,0.165373,0.059625,1085
77175,3,11,0.133771,0.192183,0.058413,1077
77175,3,12,0.210954,0.259759,0.048805,1129
77175,3,13,0.208925,0.263905,0.054980,1062
77175,3,14,0.198370,0.265923,0.067554,1141
77175,3,15,0.177181,0.238851,0.061669,1051
77175,4,0,0.152211,0.406663,0.254452,9545
77175,4,1,0.318738,0.537966,0.219227,9471
77175,4,2,0.322644,0.554606,0.231963,9494
77175,4,3,0.312437,0.551065,0.238628,9546
77175,4,4,0.334462,0.558349,0.223887,9497
77175,4,5,0.331430,0.545510,0.214079,9494
77175,4,6,0.327423,0.547007,0.219584,9530
77175,4,7,0.325454,0.553341,0.227887,9457
77175,4,8,0.247140,0.510679,0.263539,9492
77175,4,9,0.245385,0.499400,0.254015,9505
77175,4,10,0.227538,0.477515,0.249977,9399
77175,4,11,0.255395,0.483664,0.228269,9441
77175,4,12,0.332725,0.545289,0.212564,9545
77175,4,13,0.330789,0.546893,0.216104,9422
77175,4,14,0.320228,0.544772,0.224544,9545
77175,4,15,0.299083,0.524655,0.225572,9480
77175,5,0,0.538717,0.781298,0.242581,10484
77175,5,1,0.705358,0.920277,0.214919,10489
77175,5,2,0.709167,0.924102,0.214935,10479
77175,5,3,0.699027,0.939681,0.240654,10484
77175,5,4,0.721034,0.943425,0.222391,10493
77175,5,5,0.718055,0.936841,0.218785,10481
77175,5,6,0.713971,0.935651,0.221679,10481
77175,5,7,0.712014,0.942144,0.230129,10484
77175,5,8,0.633606,0.879976,0.246370,10483
77175,5,9,0.632012,0.872348,0.240336,10490
77175,5,10,0.614258,0.858635,0.244377,10486
77175,5,11,0.642121,0.875756,0.233635,10478
77175,5,12,0.719379,0.929468,0.210089,10480
77175,5,13,0.717494,0.927241,0.209746,10480
77175,5,14,0.706926,0.931110,0.224184,10475
77175,5,15,0.685775,0.907258,0.221483,10486
77175,6,0,0.905079,1.127114,0.222035,10493
77175,6,1,1.071753,1.279087,0.207335,10490
77175,6,2,1.075669,1.283562,0.207893,10481
77175,6,3,1.065426,1.285407,0.219981,10492
77175,6,4,1.087523,1.301205,0.213683,10493
77175,6,5,1.084448,1.294222,0.209773,10491
77175,6,6,1.080449,1.292632,0.212183,10490
77175,6,7,1.078466,1.287977,0.209510,10494
77175,6,8,1.000015,1.233448,0.233433,10493
77175,6,9,0.998463,1.226436,0.227973,10495
77175,6,10,0.980650,1.212593,0.231943,10493
77175,6,11,1.008522,1.229673,0.221151,10490
77175,6,12,1.085777,1.290736,0.204959,10484
77175,6,13,1.083831,1.296677,0.212846,10482
77175,6,14,1.073269,1.298502,0.225233,10497
77175,6,15,1.052175,1.271966,0.219791,10491
77175,7,0,1.261486,1.464353,0.202867,10471
77175,7,1,1.428148,1.609714,0.181566,10472
77175,7,2,1.432126,1.631490,0.199364,10474
77175,7,3,1.421866,1.625826,0.203961,10473
77175,7,4,1.444146,1.634641,0.190495,10460
77175,7,5,1.441079,1.636863,0.195784,10477
77175,7,6,1.436995,1.626475,0.189479,10477
77175,7,7,1.435089,1.627108,0.192019,10467
77175,7,8,1.356562,1.593586,0.237024,10469
77175,7,9,1.354865,1.584538,0.229673,10473
77175,7,10,1.337100,1.536466,0.199366,10471
77175,7,11,1.365738,1.552068,0.186330,10471
77175,7,12,1.442366,1.626486,0.184119,10470
77175,7,13,1.440370,1.639483,0.199112,10467
77175,7,14,1.429808,1.630581,0.200774,10480
77175,7,15,1.408622,1.599873,0.191251,10457
77175,8,0,1.616333,1.791712,0.175379,10471
77175,8,1,1.782982,1.939428,0.156446,10468
77175,8,2,1.786915,1.959704,0.172789,10455
77175,8,3,1.776667,1.954315,0.177648,10466
77175,8,4,1.798906,1.988987,0.190081,10460
77175,8,5,1.795858,1.978468,0.182610,10461
77175,8,6,1.791790,1.973405,0.181616,10455
77175,8,7,1.789835,1.969240,0.179405,10460
77175,8,8,1.711032,1.911575,0.200543,10470
77175,8,9,1.709467,1.913427,0.203960,10467
77175,8,10,1.691692,1.887149,0.195457,10455
77175,8,11,1.719515,1.904620,0.185105,10456
77175,8,12,1.796995,1.964599,0.167604,10464
77175,8,13,1.794985,1.971422,0.176438,10460
77175,8,14,1.784503,1.970768,0.186265,10462
77175,8,15,1.763313,1.935301,0.171988,10450
77175,9,0,1.932394,2.075918,0.143524,10401
77175,9,1,2.099076,2.229699,0.130623,10414
77175,9,2,2.102967,2.246544,0.143577,10414
77175,9,3,2.092739,2.239575,0.146836,10413
77175,9,4,2.114916,2.270775,0.155860,10404
77175,9,5,2.111849,2.273951,0.162102,10424
77175,9,6,2.107828,2.269792,0.161964,10413
77175,9,7,2.105836,2.265452,0.159617,10412
77175,9,8,2.027415,2.211822,0.184407,10420
77175,9,9,2.025789,2.216039,0.190250,10415
77175,9,10,2.008008,2.198591,0.190583,10398
77175,9,11,2.035851,2.206309,0.170459,10399
77175,9,12,2.113179,2.250701,0.137522,10422
77175,9,13,2.111114,2.253358,0.142244,10390
77175,9,14,2.100700,2.250728,0.150027,10417
77175,9,15,2.079588,2.216809,0.137220,10395
77175,10,0,2.219838,2.342026,0.122188,10369
77175,10,1,2.386491,2.506258,0.119766,10368
77175,10,2,2.390409,2.507918,0.117509,10375
77175,10,3,2.380176,2.494644,0.114468,10371
77175,10,4,2.402265,2.526570,0.124304,10378
77175,10,5,2.399262,2.523421,0.124159,10374
77175,10,6,2.395193,2.511987,0.116794,10369
77175,10,7,2.393195,2.511810,0.118615,10371
77175,10,8,2.314844,2.446863,0.132019,10378
77175,10,9,2.313181,2.437727,0.124546,10375
77175,10,10,2.295440,2.421018,0.125578,10367
77175,10,11,2.323216,2.442611,0.119394,10355
77175,10,12,2.400577,2.519615,0.119038,10396
77175,10,13,2.398664,2.525478,0.126814,10364
77175,10,14,2.388062,2.512395,0.124333,10372
77175,10,15,2.366969,2.482099,0.115130,10374
77175,11,0,2.436164,2.531360,0.095196,10275
77175,11,1,2.602743,2.700261,0.097518,10235
77175,11,2,2.606666,2.700101,0.093435,10262
77175,11,3,2.596426,2.688029,0.091603,10240
77175,11,4,2.618516,2.718275,0.099759,10261
77175,11,5,2.615487,2.708128,0.092642,10272
77175,11,6,2.611458,2.706750,0.095292,10239
77175,11,7,2.609473,2.697531,0.088058,10250
77175,11,8,2.531079,2.649009,0.117930,10270
77175,11,9,2.529392,2.634973,0.105581,10269
77175,11,10,2.511659,2.621845,0.110186,10238
77175,11,11,2.539452,2.637158,0.097706,10236
77175,11,12,2.616861,2.704348,0.087487,10252
77175,11,13,2.614911,2.709353,0.094442,10264
77175,11,14,2.604289,2.705887,0.101598,10268
77175,11,15,2.583133,2.674828,0.091695,10239
77175,12,0,2.627943,2.705406,0.077463,10144
77175,12,1,2.794613,2.866964,0.072351,10139
77175,12,2,2.798548,2.878394,0.079846,10144
77175,12,3,2.788321,2.870051,0.081731,10171
77175,12,4,2.810463,2.883911,0.073448,10156
77175,12,5,2.807388,2.870387,0.062999,10147
77175,12,6,2.803386,2.870946,0.067560,10136
77175,12,7,2.801361,2.868362,0.067001,10153
77175,12,8,2.722949,2.817083,0.094133,10161
77175,12,9,2.721289,2.807195,0.085907,10159
77175,12,10,2.703528,2.787067,0.083539,10138
77175,12,11,2.731324,2.812480,0.081157,10142
77175,12,12,2.808700,2.876388,0.067688,10157
77175,12,13,2.806692,2.886446,0.079753,10130
77175,12,14,2.796241,2.873140,0.076899,10162
